id,codigo,nome_empresa,cidade,bairro,estado,texto,telefones,atividades
197042,625,ANA MARIA DE MELO DOS SANTOS.,Natal,Tirol,RN,"<p>Especializada em todos os servi&ccedil;os de cabelo (corte, pintura, penteado, luzes, reflexos, etc), pele, corpo, maquiagem, depila&ccedil;&atilde;o, manicure e pedicuro, rejuvenescimento, etc. Usa produtos nacionais e importados. Prepara a noiva (look de noiva). Unhas/c</p>
",(84)32161980,SalÃ£o de beleza
197275,879,VALFREDO & BARBOSA LTDA,Natal,Quintas,RN,"<p>Disp&otilde;e de madeiras em geral, compensado, f&oacute;rmica, cola e verniz, ferragem para moveis em geral (ferramentas para marceneiro). Trab. Com MDF (chapa, confec&ccedil;&otilde;es de m&oacute;veis). Vende madeira naval. Forma de pagamento: &Agrave; vista (desconto de 5%). Aceita todos o</p>
","(84)36533210,(84)084,(84)084",Material de construÃ§Ã£o
198215,1749,BRASILIA DIST. DE BEBIDAS LTDA.,Natal,Lagoa Nova,RN,"<p>Trabalha com entrega em domic&iacute;lio de bebidas, refrigerantes, carv&atilde;o, gelo e g&aacute;s. Atende na Zona Sul nos bairros de Lagoa Nova, Candel&aacute;ria, Lagoa Seca, Dix-Sept Rosado, Potil&acirc;ndia, Barro Vermelho, Morro Branco e Bom Pastor. Forma de pagamento: A comb</p>
","(84)32319940,(84),(84)","Bebida, Delivery, Entrega em domicÃ­lio, Bebidas"
198312,1834,CASA DO FIAT COMERCIAL LTDA,Natal,Lagoa Nova,RN,"<p>Disp&otilde;e de todos os servi&ccedil;os mec&acirc;nicos, pe&ccedil;as e acess&oacute;rios de todas as marcas exceto importadas. Tais como inje&ccedil;&atilde;o eletr&ocirc;nica e conserto em geral. Forma de pagamento: &Agrave; vista (descontos de 5% a 10%). Aceita os cart&otilde;es Hiper e Master. Cheque pre-datado a</p>
","(84)32066020,(84)2066020,(84)2066020","Auto peÃ§as, Oficina, Vendas de peÃ§as"
198675,2122,CASA DO PEIXE LTDA,Natal,Rocas,RN,"<p>Disp&otilde;e de pescado, camar&atilde;o, file de camar&atilde;o, peixe (fil&eacute;), lagosta, carne de caranguejo, patola de caranguejo, ostra, sururu, marisco, agulha, ova de peixe, lagosta (fil&eacute;), lula, carne de siri. Obs.: vendem no atacado e varejo. Fazem entrega em domic&iacute;li</p>
","(84)32214917,(84)0842214917,(84)0842214917","Delivery, Entrega em domicÃ­lio"
198774,2200,HUMBERTO DANTAS,Natal,Barro Vermelho,RN,"<p>Trabalha com canal, restaura&ccedil;&atilde;o, extra&ccedil;&otilde;es, pr&oacute;teses, raio-x, limpeza, odontologia preventiva, cirurgia, ortodontia, implante. M&eacute;dicos: Dr. Humberto Dantas, Dr. Jos&eacute; Rocha e Dra. Faviane Cauter, Dra. Silvia Banhom, Dr. Rubens Barros. Dr. Humberto: espe</p>
","(84)32212808,(84)0842015066,(84)0842015066",ClÃ­nica
200752,3979,JM SOARES ME,Natal,Quintas,RN,"<p>Ar condicionado para automov&eacute;is em geral, nacionais e importados, instala&ccedil;&atilde;o e manuten&ccedil;&atilde;o em geral. Instala&ccedil;&atilde;o, conserto e manunten&ccedil;&atilde;o de carros nacionais e importados.</p>
",(84)3653-7190,"Auto peÃ§as, Vendas de peÃ§as"
200872,4091,AntÃ´nio Francisco de Oliveira,Natal,Alecrim,RN,"<p>Trabalha com servi&ccedil;os de pe&ccedil;as e mec&acirc;nica em geral, trabalhamos com todas as marcas de carros. Servi&ccedil;o de guincho e reboque 24h.</p>

<p>Guincho 24hs Oficina e Auto Pe&ccedil;as Rio Bahia AUTO PE&Ccedil;AS Oficina SERVI&Ccedil;O MEC&Acirc;NICO EM GERAL SERVI&Ccedil;O DE GUINCHO Reboque OFICINA E SERVI&Ccedil;O PE&Ccedil;AS Servi&ccedil;o de reboque 24 horas SERVI&Ccedil;O DE SUSPENS&Atilde;O Troca de &Oacute;leo FREIO SERVI&Ccedil;O DE MOTOR CONSERTO DE CAIXA DE MARCHA CONSERTO DE BICO INJETOR CONSERTO DE BOMBAS PARA AUTOM&Oacute;VEL BOMBA INJETORA CONSERTO DE DIRE&Ccedil;&Atilde;O HIDR&Aacute;ULICA CONSERTO DE EMBREAGEM SERVI&Ccedil;O DE AMORTECEDOR Oficina de Caixa de Marcha Avenida Governador Rafael Fernandes Alecrim Natal RN</p>
","(84)32014622,(84)99850780,(84)","Auto peÃ§as, Oficina, Vendas de peÃ§as"
201273,4462,Soraya Costa da Silva,Natal,Lagoa Nova,RN,"<p>O Degrau Material de Constru&ccedil;&atilde;o brita telha e tijolo material el&eacute;trico material hidr&aacute;ulico ferragem material para constru&ccedil;&atilde;o material de construcao para entrega material eletrico em domicilio tubos e conexoes venda de tubos e conexoes hidraulicas material de limpeza chuveiro areia chuveiro eletrico telha brasilit louca sanitaria tinta tinta imobiliaria manta magnetica ferramenta pias porta janela janelas mangueiras argamassa rejunte cimento tijolos tijolo 8 furos Avenida Xavier da Silveira Lagoa Nova Natal RN</p>
","(84)32318500,(84)0842318500,(84)0842318500","Material de construÃ§Ã£o, Entrega em domicÃ­lio"
201625,4775,ORIOSVALDO FREIRE DO NASCIMENTO ME,Natal,NazarÃ©,RN,"<p>Oficina equipadora Auri Auto Pe&ccedil;as auto pe&ccedil;as pe&ccedil;a fiat pe&ccedil;as oficina servi&ccedil;o pe&ccedil;a peugeot graxa de silicone auri auto pe&ccedil;as ESCAPAMENTO PE&Ccedil;A PARA VE&Iacute;CULO IMPORTADO BORRACHA PARA VE&Iacute;CULO Pe&ccedil;as Kia Motors AUTO PE&Ccedil;AS REVENDEDOR FORD Pe&ccedil;as Volkswagen BMW PE&Ccedil;A GERAL EM DOMIC&Iacute;LIO Pe&ccedil;as Fiat PE&Ccedil;A LATARIA Pe&ccedil;as Peugeot GRAXA DE SILICONE EQUIPADORA PARA AUTOM&Oacute;VEL BATERIA bateria de carro bateria automotiva Bateria Cral BATERIA MOURA Bateria Bosch CONSERTO DE escapamento Borracha para porta automotiva Coxim venda pe&ccedil;a farol de milha Lanterna automotiva RETROVISOR ENGATE PARA REBOQUE PROTETOR DE CARTER TAPETE PARA AUTOM&Oacute;VEL Antena para carro Friso Lateral CALOTA PARA AUTOM&Oacute;VEL CAPA PARA CARRO Palheta do limpador VOLANTE EM COURO Capa Para Volante Acess&oacute;rio para Autom&oacute;veis Acess&oacute;rio para autom&oacute;vel lojas de pe&ccedil;as de carros Pe&ccedil;a para Carro Importado Auto pe&ccedil;as para carros nacionais Auto pe&ccedil;as para carros importados CABO DE VELA BOBINA TROCA DE VELA MECANICA BASICA SERVICO MECANICO EM GERAL OFICINA OFICINA MECANICA CORREIA DENTADA TROCA DE CORREIA DENTADA SERVICO DE TROCA DE CORREIA FILTRO DE COMBUSTIVEL TROCA DE FILTRO DE COMBUSTIVEL PECA rolamento cabe&ccedil;ote CARBURADOR SUSPENSAO AMORTECEDOR OLEO DESENGRIPANTE SAPATA DE FREIO DISCO DE FREIO CUBO DE RODA PRODUTO PARA LIMPEZA DE CARRO MATERIAL DE LIMPEZA PARA AUTOMOVEL PECA EMBREAGEM LIMPADOR DE PARABRISA Nossa Senhora de Nazar&eacute; telefone endere&ccedil;o em Natal RN</p>
","(84)3223-7496,(84)3223-7497","Auto peÃ§as, Oficina, Vendas de peÃ§as"
